category,job_title,num_skills,description_length,posting_count
Finance,Finance Manager,16,3269,15
Finance,Finance Manager,16,2074,15
Finance,Finance Manager,20,1867,15
Finance,Finance Manager,19,2784,15
Finance,Finance Manager,22,6357,15
Finance,Finance Manager,18,4639,15
Finance,Finance Manager,13,986,15
Finance,Finance Manager,16,1240,15
Finance,Finance Manager (SaaS),15,707,1
Finance,Finance Manager (Top Secret Clearance Required),22,4119,1
Finance,Finance Manager (US),20,13307,1
Finance,Finance Manager BUF Vision MEDCEE,20,5373,1
Finance,"Finance Manager, Ops Finance IPAT",22,5435,1
Finance,"Finance Manager, WW Ops Finance - Trans Support",19,5780,1
Finance,Finance Manager/Director - Receivables & Order to Cash Specialist,11,806,1
Finance,Finance Product Data Owner,21,6461,1
Finance,"Finance Project Coordinator II,",16,6427,1
Finance,Finance Project Leader,14,3260,2
Finance,Finance Project Leader,15,1581,2
Finance,Finance Project Manager,18,3858,2
Finance,Finance Project Manager,9,828,2
Finance,Finance Sales Manager - Remote,21,4786,1
Finance,Finance Senior Director (Firm Client Service),21,6526,1
Finance,Finance Specialist,15,1160,1
Finance,Finance Specialist - 1771249,13,1346,1
Finance,Finance Specialist - Channel & Customer Marketing,13,4329,1
Finance,Finance Supervisor/Manager - Healthcare,22,1840,1
Finance,Finance Support Manager,15,1858,1
Finance,Finance and Accounting Intern,23,5561,1
Finance,Finance and Admin Manager,24,3165,1
Finance,Finance and Building Administrator,20,9907,1
Finance,Finance and Operations Director,23,6955,1
Finance,Finance and Strategy Associate,19,3685,1
Finance,"Financial Analyst, Global Functions Finance",20,4810,1
Finance,"Financial Analyst, Motion Picture Finance",17,4135,1
Finance,"Financial Services Risk Management, Structured Finance - Transactions, Manager",21,7807,1
Finance,Financial Services Senior Associate/Counsel – Aviation Finance,14,1529,1
Finance,Fractional Finance Consultant,10,885,1
Finance,"Fundamental Fixed Income (FFI) - Director, Leveraged Finance Research",16,5739,1
Finance,"Global Investment Research, Regional Banks and Consumer Finance, Associate",14,3947,1
Finance,Head of Corporate Finance (Sr. Director / Director),23,9423,1
Finance,IRNext Rotational Program - Finance,21,5419,1
Finance,IT Finance Operations Manager,20,4783,1
Finance,Intern - Finance and Accounting,12,4604,1
Finance,"Lead Relationship Manager, Project Finance - Power and Renewable Energy",21,7304,1
Finance,Lead Software Engineer - Finance (Hybrid),18,4313,1
Finance,Lufkin Finance Analyst,15,4107,1
Finance,Manager Supply Chain Finance Standardization,20,6904,1
Finance,"Manager, Accounting & Finance | Family Office",21,2408,1
Finance,"Manager, Corporate Finance",17,3572,1
Finance,"Manager, FP&A-Strategic Tech Finance",17,4684,1
Finance,"Manager, Finance",23,7112,1
Finance,"Mintek Resources- Finance, Senior Manager",22,7475,1
Finance,Operations Finance Analyst I,24,4665,1
