required_skill,course_id,course_name,institution,average_rating,review_count
Cloud Platforms,data-lakes-data-warehouses-gcp,modernizing data lakes and data warehouses with gcp,google cloud,4.576086956521739,184
Cloud Platforms,gcp-big-data-ml-fundamentals,google cloud platform big data and machine learning fundamentals,google cloud,4.516201117318436,1790
Cloud Platforms,gcp-exploring-preparing-data-bigquery,exploring ​and ​preparing ​your ​data with bigquery,google cloud,4.447272727272727,275
Cloud Platforms,gcp-fundamentals,google cloud platform fundamentals: core infrastructure,google cloud,4.654331737048324,4594
Cloud Platforms,gcp-infrastructure-core-services,essential google cloud infrastructure: core services,google cloud,4.537698412698413,504
Cloud Platforms,gcp-infrastructure-foundation,essential google cloud infrastructure: foundation,google cloud,4.650808753568031,1051
Cloud Platforms,gcp-infrastructure-scaling-automation,elastic google cloud infrastructure: scaling and automation,google cloud,4.456896551724138,464
Cloud Platforms,getting-started-with-google-sheets,getting started with google sheets,google cloud,4.506329113924051,158
Cloud Platforms,google-cloud-java-spring,building scalable java microservices with spring boot and spring cloud,google cloud,3.751552795031056,161
Cloud Platforms,google-cloud-product-fundamentals,google cloud product fundamentals,google cloud,4.523809523809524,63
Cloud Platforms,google-kubernetes-engine,getting started with google kubernetes engine,google cloud,4.150278293135436,539
Cloud Platforms,google-machine-learning,how google does machine learning,google cloud,4.430711610486892,801
Cloud Platforms,iiot-google-cloud-platform,industrial iot on google cloud platform,google cloud,4.476987447698745,478
Cloud Platforms,introduction-g-suite,introduction to g suite,google cloud,4.5762081784386615,269
Cloud Platforms,introduction-to-cloud,introduction to cloud computing,ibm,4.8,55
Cloud Platforms,introduction-trading-machine-learning-gcp,"introduction to trading, machine learning & gcp",new york institute of finance,3.4153846153846152,130
Cloud Platforms,machine-learning-business-professionals,machine learning for business professionals,google cloud,4.562416107382551,745
Cloud Platforms,preparing-cloud-associate-cloud-engineer-exam,preparing for the google cloud associate cloud engineer exam,google cloud,4.431034482758621,174
Cloud Platforms,preparing-cloud-professional-cloud-architect-exam,preparing for the google cloud professional cloud architect exam,google cloud,4.380952380952381,126
Cloud Platforms,site-reliability-engineering-slos,site reliability engineering: measuring and managing reliability,google cloud,4.129496402877698,139
Aws,american-law,an introduction to american law,university of pennsylvania,4.823529411764706,663
Aws,arbitration-international-disputes,international law in action: the arbitration of international disputes,universiteit leiden,4.8478260869565215,92
Aws,aws-fundamentals-addressing-security-risk,aws fundamentals: addressing security risk,amazon web services,4.103004291845494,233
Aws,aws-fundamentals-going-cloud-native,aws fundamentals: going cloud-native,amazon web services,4.6386494252873565,1392
